anio,edad,sexo,cantidad_personas,condicion_asist_escolar
2001,5.0,m,-,Ignorado
2001,5.0,v,14753,Asiste
2001,5.0,v,761,Nunca asistió
2001,5.0,v,172,No asiste pero asistió
2001,5.0,v,-,Ignorado
2001,6.0,m,14471,Asiste
2001,6.0,m,177,Nunca asistió
2001,6.0,m,105,No asiste pero asistió
2001,6.0,m,-,Ignorado
2001,6.0,v,14927,Asiste
2001,6.0,v,202,Nunca asistió
2001,6.0,v,112,No asiste pero asistió
2001,6.0,v,-,Ignorado
2001,7.0,m,14463,Asiste
2001,7.0,m,55,Nunca asistió
2001,7.0,m,69,No asiste pero asistió
2001,7.0,m,-,Ignorado
2001,7.0,v,14687,Asiste
2001,7.0,v,64,Nunca asistió
2001,7.0,v,61,No asiste pero asistió
2001,7.0,v,-,Ignorado
2001,8.0,m,14343,Asiste
2001,8.0,m,40,Nunca asistió
2001,8.0,m,71,No asiste pero asistió
2001,8.0,m,-,Ignorado
2001,8.0,v,14830,Asiste
2001,8.0,v,33,Nunca asistió
2001,8.0,v,76,No asiste pero asistió
2001,8.0,v,-,Ignorado
2001,9.0,m,14821,Asiste
2001,9.0,m,25,Nunca asistió
2001,9.0,m,87,No asiste pero asistió
2001,9.0,m,-,Ignorado
2001,9.0,v,15229,Asiste
2001,9.0,v,37,Nunca asistió
2001,9.0,v,90,No asiste pero asistió
2001,9.0,v,-,Ignorado
2001,10.0,m,15491,Asiste
2001,10.0,m,28,Nunca asistió
2001,10.0,m,75,No asiste pero asistió
2001,10.0,m,-,Ignorado
2001,10.0,v,15769,Asiste
2001,10.0,v,47,Nunca asistió
2001,10.0,v,102,No asiste pero asistió
2001,10.0,v,-,Ignorado
2001,11.0,m,15638,Asiste
2001,11.0,m,39,Nunca asistió
2001,11.0,m,117,No asiste pero asistió
2001,11.0,m,-,Ignorado
2001,11.0,v,16139,Asiste
2001,11.0,v,39,Nunca asistió
2001,11.0,v,129,No asiste pero asistió
2001,11.0,v,-,Ignorado
2001,12.0,m,15691,Asiste
2001,12.0,m,37,Nunca asistió
2001,12.0,m,129,No asiste pero asistió
2001,12.0,m,-,Ignorado
2001,12.0,v,15974,Asiste
2001,12.0,v,39,Nunca asistió
2001,12.0,v,160,No asiste pero asistió
2001,12.0,v,-,Ignorado
2001,13.0,m,15858,Asiste
2001,13.0,m,42,Nunca asistió
2001,13.0,m,224,No asiste pero asistió
2001,13.0,m,-,Ignorado
2001,13.0,v,16135,Asiste
2001,13.0,v,47,Nunca asistió
2001,13.0,v,252,No asiste pero asistió
2001,13.0,v,-,Ignorado
2001,14.0,m,15799,Asiste
2001,14.0,m,60,Nunca asistió
2001,14.0,m,475,No asiste pero asistió
2001,14.0,m,-,Ignorado
2001,14.0,v,16099,Asiste
2001,14.0,v,60,Nunca asistió
2001,14.0,v,603,No asiste pero asistió
2001,14.0,v,-,Ignorado
2001,15.0,m,15736,Asiste
2001,15.0,m,52,Nunca asistió
2001,15.0,m,758,No asiste pero asistió
2001,15.0,m,-,Ignorado
2001,15.0,v,16069,Asiste
2001,15.0,v,58,Nunca asistió
2001,15.0,v,944,No asiste pero asistió
2001,15.0,v,-,Ignorado
2001,16.0,m,15541,Asiste
2001,16.0,m,66,Nunca asistió
2001,16.0,m,1224,No asiste pero asistió
2001,16.0,m,-,Ignorado
2001,16.0,v,15430,Asiste
2001,16.0,v,49,Nunca asistió
2001,16.0,v,1523,No asiste pero asistió
2001,16.0,v,-,Ignorado
2001,17.0,m,15193,Asiste
2001,17.0,m,67,Nunca asistió
2001,17.0,m,1806,No asiste pero asistió
2001,17.0,m,-,Ignorado
2001,17.0,v,15236,Asiste
2001,17.0,v,61,Nunca asistió
2001,17.0,v,2173,No asiste pero asistió
2001,17.0,v,-,Ignorado
2001,18.0,m,14655,Asiste
2001,18.0,m,90,Nunca asistió
2001,18.0,m,3936,No asiste pero asistió
2001,18.0,m,-,Ignorado
2001,18.0,v,14294,Asiste
2001,18.0,v,91,Nunca asistió
2001,18.0,v,4151,No asiste pero asistió
2001,18.0,v,-,Ignorado
